transaction_id,description,amount,category
TXN176819,bsnl bill payment #2638,96.11,Utilities
TXN465962,adobe creative cloud payment #3170,2554.13,Bills & Subscriptions
TXN559469,chai point payment #3584,1879.16,Food & Dining
TXN108203,microsoft 365 payment #9666,3077.8,Bills & Subscriptions
TXN240814,parking charges payment #2697,2795.28,Others
TXN385577,ola payment #3546,4454.08,Travel & Transport
TXN313487,vistara airlines payment #6617,1092.62,Travel & Transport
TXN612262,donation payment payment #9280,4271.92,Others
TXN969634,uber payment #7939,506.88,Travel & Transport
TXN768061,uber payment #3143,67.55,Travel & Transport
TXN688153,irctc payment #8007,3719.09,Travel & Transport
TXN672092,bank a/c transfer payment #3442,422.46,Financial Services
TXN550664,hdfc atm payment #3426,2933.42,Financial Services
TXN475190,amazon payment #1653,1575.88,Shopping
TXN470858,essar petrol payment #2684,1285.17,Fuel
TXN348237,notion subscription payment #3532,4870.49,Bills & Subscriptions
TXN125990,westside payment #7755,4063.32,Shopping
TXN941204,pantaloons payment #7745,4626.21,Shopping
TXN379766,parking charges payment #5065,3688.53,Others
TXN140605,westside payment #7267,3521.33,Shopping
TXN466643,bookmyshow payment #8541,1037.89,Entertainment
TXN517821,airindia payment #4164,1153.47,Travel & Transport
TXN468203,act fibernet payment #5573,4328.55,Utilities
TXN447235,local technician payment #9785,2028.41,Others
TXN287241,bank a/c transfer payment #5279,4391.34,Financial Services
TXN462479,blinkit payment #8119,239.37,Groceries
TXN221263,tata play dth payment #9379,3050.73,Utilities
TXN101773,medplus payment #8144,1310.88,Health & Fitness
TXN796503,adobe creative cloud payment #2146,1852.9,Bills & Subscriptions
TXN854717,hathway broadband payment #3041,3333.77,Utilities
TXN442027,goibibo payment #7691,1580.96,Travel & Transport
TXN540869,pharmeasy payment #4143,2794.34,Health & Fitness
TXN745414,nobroker services payment #3851,3402.72,Others
TXN418635,blinkit payment #1006,2060.07,Groceries
TXN587575,airindia payment #6279,2177.95,Travel & Transport
TXN596171,prime video payment #9375,3394.35,Entertainment
TXN796101,lifestyle payment #9445,469.74,Shopping
TXN805477,local technician payment #4848,1709.18,Others
TXN125611,airindia payment #3414,4042.49,Travel & Transport
TXN577538,bhim upi payment #2193,4920.48,Financial Services
TXN618392,medplus payment #7291,3605.81,Health & Fitness
TXN887443,medplus payment #1090,780.48,Health & Fitness
TXN587115,burger king payment #9486,1133.26,Food & Dining
TXN578634,atm fee payment #2988,1283.53,Financial Services
TXN686075,westside payment #9702,2349.98,Shopping
TXN742412,nature's basket payment #8251,4752.7,Groceries
TXN567574,notion subscription payment #9976,4161.32,Bills & Subscriptions
TXN371782,pantaloons payment #8373,4314.4,Shopping
TXN608136,ioc fuel station payment #9540,3206.42,Fuel
TXN848206,urban company payment #2269,1409.26,Others
TXN666390,airindia payment #6238,1394.99,Travel & Transport
TXN827659,kfc payment #7275,796.61,Food & Dining
TXN527398,pantaloons payment #7797,1109.07,Shopping
TXN973349,water tax payment #4388,2108.08,Utilities
TXN998348,fortis hospital payment #1320,4528.95,Health & Fitness
TXN413118,spencer’s retail payment #6763,2411.05,Groceries
TXN938722,fortis hospital payment #9947,2714.19,Health & Fitness
TXN557007,more supermarket payment #5471,2466.74,Groceries
TXN859359,netflix payment #7624,1974.84,Entertainment
TXN128276,nykaa payment #9751,4601.73,Shopping
TXN242291,apollo pharmacy payment #8022,465.54,Health & Fitness
TXN443254,spotify payment #7211,298.91,Entertainment
TXN391773,shell payment #7211,1667.89,Fuel
TXN120324,pharmeasy payment #8705,4182.81,Health & Fitness
TXN335113,youtube premium payment #6733,4999.54,Bills & Subscriptions
TXN890870,urbanclap payment #1659,3917.1,Others
TXN751517,bhim upi payment #1333,1036.84,Financial Services
TXN691364,ajio payment #2874,674.79,Shopping
TXN275939,shell payment #7043,3512.35,Fuel
TXN426147,dunzo payment #3683,3900.07,Groceries
TXN515922,zomato payment #7149,4647.99,Food & Dining
TXN206851,indianoil payment #4978,2980.88,Fuel
TXN934904,ksrtc bus payment #2983,3022.04,Travel & Transport
TXN793655,bigbasket payment #8018,1768.66,Groceries
TXN113266,bsnl bill payment #6590,2554.51,Utilities
TXN766459,talwalkars gym payment #6934,572.42,Health & Fitness
TXN782054,spotify payment #9548,2205.66,Entertainment
TXN912270,vistara airlines payment #9817,4050.59,Travel & Transport
TXN437960,prime video payment #5397,2206.09,Entertainment
TXN572700,ioc fuel station payment #5569,4676.38,Fuel
TXN452737,ioc fuel station payment #7209,2350.31,Fuel
TXN611233,bajaj finance emi payment #3979,4262.22,Financial Services
TXN393243,bharatpetrol payment #6576,3999.27,Fuel
TXN300337,blinkit payment #9464,2801.17,Groceries
TXN682144,chai point payment #9004,3614.37,Food & Dining
TXN569945,essar petrol payment #9041,2406.66,Fuel
TXN825391,rtgs transfer payment #7625,1506.47,Financial Services
TXN596249,bharatpetrol payment #7046,3336.6,Fuel
TXN468900,canva pro payment #6419,2156.24,Bills & Subscriptions
TXN226516,pvr cinemas payment #4777,1567.78,Entertainment
TXN899213,bharatpetrol payment #9779,641.8,Fuel
TXN389930,ajio payment #8933,1121.1,Shopping
TXN410636,blinkit payment #4180,4903.53,Groceries
TXN842411,bharatpetrol payment #1231,938.24,Fuel
TXN680238,apple music payment #1893,1407.84,Bills & Subscriptions
TXN207570,irctc payment #9042,3207.45,Travel & Transport
TXN561865,reversal charge payment #8843,1457.48,Financial Services
TXN600935,tneb payment payment #5136,4829.21,Utilities
TXN705050,mcdonalds payment #2213,2033.5,Food & Dining
TXN950544,donation payment payment #3444,315.36,Others
TXN224205,blinkit payment #5066,471.65,Groceries
TXN913373,notion subscription payment #4697,3051.27,Bills & Subscriptions
TXN411797,notion subscription payment #8253,2280.05,Bills & Subscriptions
TXN739244,spencer’s retail payment #1986,1561.63,Groceries
TXN792509,kritunga payment #5335,3146.3,Food & Dining
TXN264136,starbucks payment #2229,1237.33,Food & Dining
TXN405407,hdfc loan emi payment #8699,2279.99,Financial Services
TXN837135,bhim upi payment #5632,1476.12,Financial Services
TXN926097,hotstar payment #5334,3452.56,Entertainment
TXN545790,local technician payment #4241,3322.86,Others
TXN378535,paradise biryani payment #3441,1162.81,Food & Dining
TXN723948,flipkart payment #6039,345.21,Shopping
TXN822131,blinkit payment #8679,2223.81,Groceries
TXN666211,redbus payment #9199,4716.25,Travel & Transport
TXN553014,prime video payment #1653,448.19,Entertainment
TXN807053,act fibernet payment #4750,178.03,Utilities
TXN704238,bigbasket payment #5415,4997.88,Groceries
TXN391668,googlepay upi payment #8245,2378.98,Financial Services
TXN195674,decathlon payment #9056,2207.63,Shopping
TXN802685,inox movies payment #6260,2071.32,Entertainment
TXN402218,starbucks payment #9117,1682.53,Food & Dining
TXN576919,nobroker services payment #1601,4077.15,Others
TXN910075,behrouz biryani payment #2899,1299.37,Food & Dining
TXN584417,apollo pharmacy payment #9889,3305.42,Health & Fitness
TXN752878,apollo pharmacy payment #6927,978.53,Health & Fitness
TXN380028,prime video payment #4335,3811.95,Entertainment
TXN832168,apple music payment #8178,4641.98,Bills & Subscriptions
TXN844261,hotstar payment #4920,192.9,Entertainment
TXN197736,meesho payment #7684,2776.65,Shopping
TXN223172,ioc fuel station payment #8560,4569.0,Fuel
TXN633590,parking charges payment #5781,812.16,Others
TXN355570,redbus payment #8736,4181.88,Travel & Transport
TXN882544,spotify payment #9327,1948.75,Entertainment
TXN456385,flipkart payment #7798,1417.42,Shopping
TXN861319,microsoft 365 payment #5634,4111.72,Bills & Subscriptions
TXN255813,vistara airlines payment #9022,2920.62,Travel & Transport
TXN495533,prime video payment #9903,1758.36,Entertainment
TXN699573,inox movies payment #4912,4354.53,Entertainment
TXN145767,medplus payment #7730,4287.26,Health & Fitness
TXN504832,water tax payment #7246,3540.88,Utilities
TXN619389,parking charges payment #3492,4112.7,Others
TXN205239,phonepe upi payment #6439,2536.34,Financial Services
TXN116093,hotstar payment #8486,2653.46,Entertainment
TXN178463,croma payment #3529,4361.12,Shopping
TXN781403,pvr cinemas payment #7512,1725.88,Entertainment
TXN498468,behrouz biryani payment #9742,4269.09,Food & Dining
TXN747453,water tax payment #1588,4368.3,Utilities
TXN338536,chai point payment #5708,3174.25,Food & Dining
TXN565230,burger king payment #2646,4892.77,Food & Dining
TXN148225,pantaloons payment #1474,1532.36,Shopping
TXN551607,airtel recharge payment #7141,1502.17,Utilities
TXN278240,ajio payment #3950,2679.27,Shopping
TXN749813,flipkart payment #7267,3066.98,Shopping
TXN343467,urban company payment #3344,2513.45,Others
TXN943718,pvr cinemas payment #1153,2324.87,Entertainment
TXN177449,pvr cinemas payment #3588,3404.17,Entertainment
TXN769975,inox movies payment #5901,4938.88,Entertainment
TXN308894,pharmeasy payment #5949,2311.34,Health & Fitness
TXN699704,talwalkars gym payment #7248,577.93,Health & Fitness
TXN123005,act fibernet payment #5837,4963.83,Utilities
TXN735863,nobroker services payment #1803,1408.68,Others
TXN736553,pvr cinemas payment #4770,3889.92,Entertainment
TXN810687,jio fiber payment #5106,3201.26,Utilities
TXN757937,donation payment payment #2591,4199.77,Others
TXN134985,urbanclap payment #8222,1579.22,Others
TXN409445,nature's basket payment #2476,3675.18,Groceries
TXN924718,tata play dth payment #3165,919.42,Utilities
TXN970813,canva pro payment #5465,2677.72,Bills & Subscriptions
TXN945664,meesho payment #8894,4574.54,Shopping
TXN178957,rapido payment #8673,4030.95,Travel & Transport
TXN986827,westside payment #7511,4834.18,Shopping
TXN114594,canva pro payment #7464,497.0,Bills & Subscriptions
TXN805511,goibibo payment #7038,661.76,Travel & Transport
TXN213609,housejoy payment #7086,2943.57,Others
TXN739717,urban company payment #6374,2383.81,Others
TXN835132,essar petrol payment #8606,362.92,Fuel
TXN147549,ksrtc bus payment #3290,2071.06,Travel & Transport
TXN201913,atm withdrawal payment #2902,4979.84,Financial Services
TXN489033,reliance petrol pump payment #8432,721.54,Fuel
TXN539486,donation payment payment #9850,3497.6,Others
TXN974190,reliance fresh payment #2622,4432.8,Groceries
TXN134305,zee5 subscription payment #5583,4698.31,Entertainment
TXN997004,jio fiber payment #4868,2244.75,Utilities
TXN670913,bsnl bill payment #7018,4905.59,Utilities
TXN299028,housejoy payment #5520,349.72,Others
TXN772875,pizza hut payment #4475,503.78,Food & Dining
TXN925013,local technician payment #1828,4856.91,Others
TXN171942,jio fiber payment #4362,4944.66,Utilities
TXN444519,adobe creative cloud payment #4817,2952.6,Bills & Subscriptions
TXN390743,westside payment #1046,4507.63,Shopping
TXN215266,myntra payment #3858,2724.07,Shopping
TXN475644,parking charges payment #1243,177.61,Others
TXN378258,reliance petrol pump payment #3854,1652.67,Fuel
TXN219169,phonepe upi payment #9619,3721.5,Financial Services
TXN638169,subway payment #6931,2268.96,Food & Dining
TXN744986,dunzo payment #4629,2287.43,Groceries
TXN774591,sbi card payment payment #8504,2631.18,Financial Services
TXN546980,neft transfer payment #7580,4993.0,Financial Services
TXN177060,urbanclap payment #8267,2476.83,Others
TXN232321,behrouz biryani payment #2076,3061.07,Food & Dining
TXN846746,vistara airlines payment #9984,3183.73,Travel & Transport
TXN409222,tata play dth payment #9692,4973.41,Utilities
TXN994217,zee5 subscription payment #2874,540.93,Entertainment
TXN550961,donation payment payment #4522,4394.65,Others
TXN518098,bookmyshow payment #8430,2098.38,Entertainment
TXN797416,1mg payment #6120,1597.11,Health & Fitness
TXN170394,rapido payment #8770,4770.28,Travel & Transport
TXN880758,mcdonalds payment #2582,511.49,Food & Dining
TXN802559,tneb payment payment #6400,2804.04,Utilities
TXN856086,burger king payment #7929,1800.31,Food & Dining
TXN208633,atm withdrawal payment #6761,3022.03,Financial Services
TXN335137,more supermarket payment #8900,815.91,Groceries
TXN220465,wow momo payment #7022,4234.6,Food & Dining
TXN986209,vistara airlines payment #8030,1169.49,Travel & Transport
TXN130359,youtube premium payment #5381,3064.52,Bills & Subscriptions
TXN456331,meesho payment #6062,3528.36,Shopping
TXN693830,airtel recharge payment #3347,947.96,Utilities
TXN196214,nobroker services payment #1502,394.45,Others
TXN457455,adobe creative cloud payment #8432,1912.16,Bills & Subscriptions
TXN914571,d mart payment #6314,1592.6,Shopping
TXN265056,dunzo payment #3549,4422.54,Groceries
TXN564637,bigbasket payment #5458,3386.15,Groceries
TXN534303,nobroker services payment #8242,2454.03,Others
TXN461939,airindia payment #2864,3786.97,Travel & Transport
TXN652530,1mg payment #8972,1452.07,Health & Fitness
TXN728437,housejoy payment #7475,274.82,Others
TXN904624,imps transfer payment #4460,1061.89,Financial Services
TXN225812,westside payment #6375,1314.82,Shopping
TXN235461,bajaj finance emi payment #3878,3747.72,Financial Services
TXN175576,medplus payment #6802,2526.3,Health & Fitness
TXN181644,apollo pharmacy payment #8532,2209.29,Health & Fitness
TXN403578,tata play dth payment #7843,2888.33,Utilities
TXN280222,ccd cafe payment #6321,153.24,Food & Dining
TXN192410,jiomart grocery payment #6928,4168.53,Groceries
TXN649414,1mg payment #7560,1254.42,Health & Fitness
TXN332335,ccd cafe payment #6562,4359.1,Food & Dining
TXN656379,tneb payment payment #2868,428.08,Utilities
TXN468154,adobe creative cloud payment #6724,4534.32,Bills & Subscriptions
TXN253557,parking charges payment #2684,781.06,Others
TXN897143,airindia payment #3504,908.82,Travel & Transport
TXN586490,urbanclap payment #9095,926.87,Others
TXN757685,jiomart grocery payment #6295,3421.61,Groceries
TXN563688,tneb payment payment #8682,2226.83,Utilities
TXN469038,housejoy payment #1920,3991.83,Others
TXN139434,google one payment #8404,1586.52,Bills & Subscriptions
TXN775981,hdfc atm payment #2257,4166.9,Financial Services
TXN571579,chayos payment #1672,1953.19,Food & Dining
TXN625721,more supermarket payment #8792,1641.56,Groceries
TXN849014,amazon payment #6626,2280.09,Shopping
TXN359778,chayos payment #1641,3248.33,Food & Dining
TXN481574,prime video payment #3600,2644.14,Entertainment
TXN811875,act fibernet payment #6543,1967.71,Utilities
TXN169113,bigbasket payment #6482,3956.67,Groceries
TXN397949,bsnl bill payment #7333,2811.92,Utilities
TXN449555,ksrtc bus payment #3463,4823.83,Travel & Transport
TXN787923,kfc payment #6082,4587.89,Food & Dining
TXN424620,nobroker services payment #2388,688.31,Others
TXN952686,notion subscription payment #6381,3235.29,Bills & Subscriptions
TXN197992,lifestyle payment #9624,3529.01,Shopping
TXN119116,donation payment payment #6928,2145.86,Others
TXN458332,act fibernet payment #4509,942.3,Utilities
TXN262471,bookmyshow payment #3253,1171.39,Entertainment
TXN632351,faasos payment #2657,4229.92,Food & Dining
TXN726258,youtube premium payment #3147,3326.55,Bills & Subscriptions
TXN856215,cult fit payment #3712,853.12,Health & Fitness
TXN565776,netflix payment #4891,2083.75,Entertainment
TXN345369,blinkit payment #8355,3774.34,Groceries
TXN975679,adobe creative cloud payment #8684,1581.87,Bills & Subscriptions
TXN584106,bharatpetrol payment #8218,3407.62,Fuel
TXN269930,redbus payment #7859,2539.39,Travel & Transport
TXN154714,ioc fuel station payment #5096,3043.08,Fuel
TXN845957,nobroker services payment #2680,4376.88,Others
TXN386042,google one payment #3626,1461.06,Bills & Subscriptions
TXN332823,spotify payment #2502,4163.68,Entertainment
TXN155843,inox movies payment #7797,4655.84,Entertainment
TXN493124,healthspring payment #2337,1217.1,Health & Fitness
TXN979940,indianoil payment #2623,1627.49,Fuel
TXN140163,housejoy payment #3254,3967.33,Others
TXN895702,makemytrip payment #3273,3495.56,Travel & Transport
TXN119927,prime video payment #2298,3095.97,Entertainment
TXN862560,airindia payment #9991,4183.07,Travel & Transport
TXN349183,spencer’s retail payment #5720,600.37,Groceries
TXN769989,ola payment #7878,286.36,Travel & Transport
TXN725726,jiomart grocery payment #9189,360.9,Groceries
TXN853448,youtube premium payment #4963,3178.18,Bills & Subscriptions
TXN352249,meesho payment #6780,2174.73,Shopping
TXN648913,spencer’s retail payment #2402,977.2,Groceries
TXN631971,bsnl bill payment #9914,4769.35,Utilities
TXN145649,youtube premium payment #8702,1982.75,Bills & Subscriptions
TXN883618,nobroker services payment #5155,4906.15,Others
TXN352838,hdfc atm payment #6649,3953.17,Financial Services
TXN239890,donation payment payment #6447,563.14,Others
TXN970720,hdfc atm payment #3868,2752.77,Financial Services
TXN762423,nobroker services payment #8840,4905.05,Others
TXN138780,westside payment #8498,717.52,Shopping
TXN143941,airindia payment #4268,266.84,Travel & Transport
TXN596395,act fibernet payment #9897,2601.15,Utilities
TXN400009,uber payment #4131,3778.79,Travel & Transport
TXN386488,airtel recharge payment #6438,4335.7,Utilities
TXN879414,wow momo payment #7553,2212.91,Food & Dining
TXN620306,zee5 subscription payment #4060,1728.23,Entertainment
TXN379676,inox movies payment #9507,4625.34,Entertainment
TXN671971,burger king payment #3956,440.69,Food & Dining
TXN793024,rapido payment #6372,557.86,Travel & Transport
TXN274739,indigo payment #7981,2257.28,Travel & Transport
TXN744718,inox movies payment #6776,2263.29,Entertainment
TXN178686,pharmeasy payment #1939,3215.37,Health & Fitness
TXN940010,donation payment payment #9406,2060.74,Others
TXN989894,urban company payment #3339,4766.31,Others
TXN347459,jiomart grocery payment #2101,222.25,Groceries
TXN734487,housejoy payment #1530,1842.65,Others
TXN490084,lifestyle payment #7077,2277.12,Shopping
TXN484774,hotstar payment #9674,2890.91,Entertainment
TXN218959,healthspring payment #5089,3265.33,Health & Fitness
TXN688956,googlepay upi payment #7340,2520.27,Financial Services
TXN324993,barbeque nation payment #8311,3886.07,Food & Dining
TXN309902,blinkit payment #9047,3485.2,Groceries
TXN281043,kfc payment #8406,4271.49,Food & Dining
TXN800280,hotstar payment #6236,4062.04,Entertainment
TXN414527,bsnl bill payment #5757,2772.49,Utilities
TXN932250,pantaloons payment #3852,3562.34,Shopping
TXN930541,jio fiber payment #4292,650.74,Utilities
TXN478427,ajio payment #1430,3962.35,Shopping
TXN741674,canva pro payment #3126,2363.66,Bills & Subscriptions
TXN651231,mcdonalds payment #8842,1580.99,Food & Dining
TXN231414,fortis hospital payment #2208,4125.53,Health & Fitness
TXN461249,bsnl bill payment #9476,2277.37,Utilities
TXN905077,westside payment #3981,2778.95,Shopping
TXN971776,croma payment #1907,2539.18,Shopping
TXN269834,chayos payment #3697,807.43,Food & Dining
TXN397846,jio fiber payment #9501,1762.81,Utilities
TXN231250,barbeque nation payment #5496,1021.69,Food & Dining
TXN626986,housejoy payment #2530,3091.42,Others
TXN279516,urban company payment #3526,2979.45,Others
TXN983456,local technician payment #6531,3617.13,Others
TXN185168,bigbasket payment #1464,4134.92,Groceries
TXN782759,reimbursement payment #5336,3866.56,Financial Services
TXN622230,ioc fuel station payment #1496,2882.08,Fuel
TXN606404,local technician payment #5949,1483.87,Others
TXN411882,ioc fuel station payment #7653,4046.38,Fuel
TXN560959,hotstar payment #3589,3458.64,Entertainment
TXN736129,talwalkars gym payment #6573,2348.99,Health & Fitness
TXN869864,d mart payment #6231,4314.35,Shopping
TXN639995,tata play dth payment #7070,697.29,Utilities
TXN228473,google one payment #8642,1629.62,Bills & Subscriptions
TXN153063,makemytrip payment #2586,1277.2,Travel & Transport
TXN360330,redbus payment #7850,4327.61,Travel & Transport
TXN299055,d mart payment #6123,4672.07,Shopping
TXN622987,nykaa payment #8648,4980.05,Shopping
TXN629996,makemytrip payment #7442,164.72,Travel & Transport
TXN151021,bookmyshow payment #6781,1114.96,Entertainment
TXN399628,atm withdrawal payment #8710,2499.73,Financial Services
TXN240440,youtube premium payment #8060,4243.5,Bills & Subscriptions
TXN147440,rapido payment #6995,3831.09,Travel & Transport
TXN480133,apollo pharmacy payment #4189,2872.89,Health & Fitness
TXN572230,microsoft 365 payment #9261,413.98,Bills & Subscriptions
TXN234913,microsoft 365 payment #2946,4135.29,Bills & Subscriptions
TXN684929,ccd cafe payment #6555,1897.33,Food & Dining
TXN520884,tneb payment payment #9341,1035.34,Utilities
TXN848255,youtube premium payment #3245,274.25,Bills & Subscriptions
TXN735710,water tax payment #3440,2620.7,Utilities
TXN270395,apple music payment #6218,1673.43,Bills & Subscriptions
TXN968524,pharmeasy payment #9311,2988.94,Health & Fitness
TXN597960,figma pro payment #5911,3558.26,Bills & Subscriptions
TXN536774,hdfc atm payment #2795,1689.64,Financial Services
TXN725905,blinkit payment #1436,3993.94,Groceries
TXN856442,pvr cinemas payment #4728,4837.0,Entertainment
TXN759580,reversal charge payment #9589,2428.22,Financial Services
TXN133104,spencer’s retail payment #4968,781.49,Groceries
TXN428930,dunzo payment #8225,994.38,Groceries
TXN530311,cult fit payment #4340,2094.15,Health & Fitness
TXN840058,figma pro payment #2020,4370.45,Bills & Subscriptions
TXN794395,tanishq payment #6325,1076.34,Shopping
TXN581992,zee5 subscription payment #3837,1603.08,Entertainment
TXN739711,canva pro payment #5331,2754.05,Bills & Subscriptions
TXN685196,bookmyshow payment #5571,4788.82,Entertainment
TXN908634,airindia payment #5876,4710.35,Travel & Transport
TXN432441,airindia payment #9011,3466.69,Travel & Transport
TXN401769,inox movies payment #5480,2824.41,Entertainment
TXN958130,paradise biryani payment #7464,1929.49,Food & Dining
TXN848831,tneb payment payment #5712,1487.74,Utilities
TXN883641,wow momo payment #5201,4623.85,Food & Dining
TXN384303,bookmyshow payment #9824,1050.24,Entertainment
TXN354235,microsoft 365 payment #4920,729.5,Bills & Subscriptions
TXN768933,sbi card payment payment #4697,4530.66,Financial Services
TXN852204,indianoil payment #6411,545.98,Fuel
TXN105433,hotstar payment #3252,3421.9,Entertainment
TXN600641,apple music payment #8793,2064.19,Bills & Subscriptions
TXN436768,urban company payment #5706,3791.76,Others
TXN783984,ksrtc bus payment #2465,342.85,Travel & Transport
TXN283568,more supermarket payment #1611,2699.0,Groceries
TXN976822,cult fit payment #1595,4672.92,Health & Fitness
TXN139286,talwalkars gym payment #5742,972.24,Health & Fitness
TXN451317,atm withdrawal payment #2758,2861.41,Financial Services
TXN649787,makemytrip payment #9901,4946.04,Travel & Transport
TXN386090,spotify payment #8668,4262.75,Entertainment
TXN866634,ioc fuel station payment #3662,607.6,Fuel
TXN872399,pvr cinemas payment #1230,3607.06,Entertainment
TXN284019,act fibernet payment #4164,2860.52,Utilities
TXN443856,spencer’s retail payment #9442,4143.6,Groceries
TXN247442,ccd cafe payment #4027,3362.82,Food & Dining
TXN373453,inox movies payment #1111,4682.34,Entertainment
TXN445637,medplus payment #5374,2261.34,Health & Fitness
TXN374258,vistara airlines payment #1187,3628.27,Travel & Transport
TXN800224,housejoy payment #2017,3479.2,Others
TXN819400,pizza hut payment #7642,1568.69,Food & Dining
TXN485397,microsoft 365 payment #5833,3466.94,Bills & Subscriptions
TXN601410,more supermarket payment #3188,1134.69,Groceries
TXN536045,nykaa payment #7121,3751.29,Shopping
TXN898867,figma pro payment #4578,3798.89,Bills & Subscriptions
TXN651033,essar petrol payment #2341,3785.96,Fuel
TXN164758,inox movies payment #2838,436.61,Entertainment
TXN272529,adobe creative cloud payment #3455,2884.87,Bills & Subscriptions
TXN851742,water tax payment #4365,625.39,Utilities
TXN567122,jiomart grocery payment #9361,500.16,Groceries
TXN578987,icici emi payment payment #7806,703.12,Financial Services
TXN858414,bigbasket payment #6049,2816.05,Groceries
TXN882032,icici atm payment #1049,1309.56,Financial Services
TXN461264,reliance petrol pump payment #7941,411.5,Fuel
TXN595002,paradise biryani payment #2130,4970.91,Food & Dining
TXN903028,atm withdrawal payment #3218,2073.89,Financial Services
TXN492650,donation payment payment #7887,3247.11,Others
TXN493892,talwalkars gym payment #7184,4354.62,Health & Fitness
TXN224395,paradise biryani payment #6697,708.3,Food & Dining
TXN863214,tanishq payment #3086,1995.64,Shopping
TXN412856,ioc fuel station payment #1372,67.19,Fuel
TXN359535,zee5 subscription payment #4762,2683.07,Entertainment
TXN860242,inox movies payment #4088,817.85,Entertainment
TXN744793,swiggy payment #7868,4056.92,Food & Dining
TXN722795,bhim upi payment #2653,1070.1,Financial Services
TXN356622,icici emi payment payment #1797,3009.04,Financial Services
TXN327823,icici atm payment #9843,2222.87,Financial Services
TXN345536,phonepe upi payment #5739,2544.28,Financial Services
TXN348411,nature's basket payment #6253,2908.5,Groceries
TXN331780,irctc payment #9540,4929.19,Travel & Transport
TXN756401,pharmeasy payment #3869,1412.01,Health & Fitness
