transaction_id,description,amount,category
TXN329471,icici credit card payment #2746,3914.26,Financial Services
TXN544815,shell payment #4492,4338.26,Fuel
TXN274418,nayara energy payment #8179,3689.66,Fuel
TXN791792,canva pro payment #4467,935.12,Bills & Subscriptions
TXN638179,tata cliq payment #1911,2321.82,Shopping
TXN428930,dominos payment #4125,192.79,Food & Dining
TXN172828,urbanclap payment #3789,1644.05,Others
TXN216359,spotify payment #7208,3308.86,Entertainment
TXN737517,tata play dth payment #9904,4056.53,Utilities
TXN161483,credit card pos payment #4502,4336.79,Financial Services
TXN687783,yatra travels payment #4089,2117.51,Travel & Transport
TXN208013,irctc payment #4450,917.86,Travel & Transport
TXN939892,talwalkars gym payment #5472,3805.88,Health & Fitness
TXN429839,dr lal pathlabs payment #2951,1979.79,Health & Fitness
TXN627935,inox movies payment #3598,956.1,Entertainment
TXN760626,debit card payment payment #8941,694.99,Financial Services
231,pos debit card transaction - lifestyle store,2300.75,Financial Services
TXN864654,1mg payment #6764,2162.27,Health & Fitness
TXN299254,tanishq payment #1251,1137.86,Shopping
TXN897925,jiomart grocery payment #1377,2638.18,Groceries
TXN530764,swiggy payment #6400,3383.06,Food & Dining
TXN469412,dominos payment #6447,753.71,Food & Dining
TXN544536,vistara airlines payment #6995,1001.18,Travel & Transport
TXN836197,dmart ready payment #8167,3207.13,Groceries
TXN330987,parking charges payment #6848,4498.44,Others
TXN299448,incentive payment payment #2790,1318.42,Financial Services
TXN756359,dmart ready payment #8587,485.89,Groceries
TXN402654,gold’s gym india payment #7809,4038.06,Health & Fitness
TXN958160,shell payment #1999,4219.91,Fuel
175,bigbasket online groceries,420.0,Groceries
TXN358568,myntra payment #6916,1333.33,Shopping
TXN247111,d mart payment #3733,2499.25,Shopping
TXN431192,alt balaji payment #1311,2167.82,Entertainment
TXN991913,nature's basket payment #1046,1096.07,Groceries
TXN981334,atm fee payment #7624,3648.49,Financial Services
TXN765117,spencer’s retail payment #5216,4363.13,Groceries
TXN632599,reliance fresh payment #7503,2560.73,Groceries
TXN253557,brewberrys cafe payment #3419,1257.72,Food & Dining
TXN766564,pvr cinemas payment #9541,1769.47,Entertainment
TXN101885,reliance petrol pump payment #3086,970.77,Fuel
TXN821541,jiomart grocery payment #2743,3640.75,Groceries
TXN172371,myntra payment #9866,4971.21,Shopping
TXN450006,bescom electricity payment #7793,2128.8,Utilities
TXN691353,lifestyle payment #2260,1566.46,Shopping
TXN432125,airindia payment #3061,2490.43,Travel & Transport
TXN824586,hdfc loan emi payment #1158,648.18,Financial Services
TXN233730,reliance fresh payment #2481,1682.96,Groceries
TXN377877,ioc fuel station payment #9013,4484.9,Fuel
TXN786735,chayos payment #3531,4438.53,Food & Dining
TXN668532,paytm upi payment #1958,2937.98,Financial Services
TXN538560,adobe creative cloud payment #5081,3423.25,Bills & Subscriptions
TXN508926,tneb payment payment #8421,2703.15,Utilities
TXN383572,essar petrol payment #9231,1675.86,Fuel
TXN815711,spencer’s retail payment #9289,2305.45,Groceries
TXN843596,orix cabs payment #5223,1026.2,Travel & Transport
TXN888318,google one payment #1155,399.18,Bills & Subscriptions
TXN936726,goibibo payment #1149,3852.76,Travel & Transport
TXN553959,1mg payment #6198,3580.25,Health & Fitness
TXN821353,local technician payment #6002,4277.56,Others
TXN211834,paytm upi payment #7302,4281.34,Financial Services
TXN290167,hpcl pump payment #5140,1052.2,Fuel
TXN537564,housejoy payment #6426,2016.03,Others
53,zee5 subscription,39.99,Entertainment
TXN312861,irl events india payment #1599,1115.28,Entertainment
TXN723789,spencer’s retail payment #7113,966.79,Groceries
TXN956800,amazon payment #1132,3508.43,Shopping
TXN526850,netflix payment #6215,2377.64,Entertainment
TXN509386,googlepay upi payment #7209,110.56,Financial Services
TXN908735,canva pro payment #8148,4789.77,Bills & Subscriptions
TXN720148,pizza hut payment #5961,4002.02,Food & Dining
TXN999138,meesho payment #3932,4662.68,Shopping
187,cadila doctor consultation,450.0,Health & Fitness
TXN976052,blablacar payment #6985,2979.63,Travel & Transport
TXN987826,flipkart payment #9584,265.74,Shopping
77,apple music subscription,9.99,Bills & Subscriptions
TXN865847,youtube premium payment #1210,4322.11,Bills & Subscriptions
TXN326053,netflix payment #5999,4456.38,Entertainment
18,bses rajdhani electricity,900.0,Utilities
TXN547861,alt balaji payment #8437,109.58,Entertainment
TXN340134,zee5 premium payment #5726,3777.7,Bills & Subscriptions
TXN962671,pharmeasy payment #5929,542.23,Health & Fitness
TXN181721,ola payment #2153,4188.84,Travel & Transport
TXN376626,nilgiris supermarket payment #8908,1206.57,Groceries
TXN373432,atm fee payment #9565,1650.21,Financial Services
TXN658582,company reimbursement payment #2133,4892.12,Financial Services
TXN735988,goibibo payment #2404,1161.31,Travel & Transport
TXN578073,apollo pharmacy payment #3430,1830.29,Health & Fitness
TXN276042,shell payment #6682,4913.66,Fuel
TXN357034,croma payment #9954,3826.36,Shopping
TXN757937,thai pavilion payment #3240,3178.42,Food & Dining
TXN549323,bpcl fuel outlet payment #2955,1948.27,Fuel
TXN954225,bookmyshow payment #8876,3699.47,Entertainment
TXN444056,h&m india payment #9792,834.28,Shopping
TXN246413,icici atm payment #8517,800.07,Financial Services
TXN513769,freelancer payment payment #5846,1753.91,Others
TXN109852,easyday club payment #1221,3982.76,Groceries
TXN986278,nayara energy payment #6813,4682.51,Fuel
TXN492505,unknown payment #2194,2263.49,Others
TXN997689,blinkit payment #1292,3253.97,Groceries
TXN734086,tnstc bus service payment #3196,2561.39,Travel & Transport
TXN564478,abhibus payment #7304,3879.0,Travel & Transport
TXN543588,v mart payment #3258,2916.55,Shopping
TXN158014,gold’s gym india payment #8960,3932.95,Health & Fitness
TXN491329,amazon payment #4583,2578.09,Shopping
TXN580938,nilgiris supermarket payment #6185,169.52,Groceries
TXN372374,xbox live payment #1982,4223.76,Entertainment
250,imps charge debit,5.0,Financial Services
TXN764316,hotstar payment #8932,241.64,Entertainment
TXN838857,ioc fuel station payment #4695,4566.28,Fuel
TXN335490,misc payment payment #2266,4797.26,Others
TXN617594,transfer payment #5520,2694.86,Others
31,aadhar fresh groceries,400.5,Groceries
TXN844056,adobe creative cloud payment #1886,4264.07,Bills & Subscriptions
TXN365971,swiggy payment #7338,4907.09,Food & Dining
TXN268010,talwalkars gym payment #4857,1557.37,Health & Fitness
TXN449218,swiggy payment #1637,771.48,Food & Dining
TXN232731,atm withdrawal payment #1231,3569.29,Financial Services
TXN591465,atm withdrawal payment #5728,2251.85,Financial Services
TXN771709,spotify premium payment #8354,1973.62,Bills & Subscriptions
TXN139726,indianoil payment #8523,3612.65,Fuel
TXN308802,bhim upi payment #6085,1200.74,Financial Services
TXN527060,pvr cinemas payment #2468,855.71,Entertainment
TXN836201,reliance petrol pump payment #9973,2657.73,Fuel
TXN445217,hotstar payment #5095,1064.7,Entertainment
TXN834861,yatra travels payment #9462,2724.69,Travel & Transport
217,atm service charge debit,25.0,Financial Services
TXN614958,donation payment payment #4272,1059.02,Others
TXN973074,card swipe payment #5636,4904.5,Financial Services
298,upi transfer to maid salary,2000.0,Financial Services
TXN294546,uber payment #9289,1957.31,Travel & Transport
TXN245766,healthspring payment #6104,3486.15,Health & Fitness
TXN245998,decathlon payment #8015,913.31,Shopping
TXN986593,pizza hut payment #2438,4071.51,Food & Dining
TXN190025,pantaloons payment #2712,1547.62,Shopping
239,neft transfer to lic premium,3500.0,Financial Services
TXN732063,swiggy payment #1151,1562.12,Food & Dining
TXN216123,zee5 subscription payment #7407,869.47,Entertainment
TXN994529,misc payment payment #3797,3428.09,Others
TXN962276,sbi atm payment #1207,4262.92,Financial Services
TXN784167,ksrtc bus payment #9883,745.68,Travel & Transport
TXN211496,municipal water tax payment #2047,4107.22,Utilities
TXN640828,flipkart payment #3938,1193.61,Shopping
230,reversal of credit card charges,-300.0,Financial Services
34,cult.fit fitness subscription,1200.0,Health & Fitness
213,reimbursement credit from hr,2300.0,Financial Services
TXN182659,nayara energy payment #7607,4103.81,Fuel
TXN371306,shoppers stop payment #2735,151.68,Shopping
TXN457311,essar petrol payment #4300,4051.58,Fuel
TXN525051,bescom electricity payment #3271,4383.58,Utilities
TXN115920,local technician payment #4903,746.18,Others
TXN296971,inox movies payment #2406,1634.07,Entertainment
TXN322167,vistara airlines payment #4424,3726.06,Travel & Transport
TXN963428,inox movies payment #5873,2016.34,Entertainment
TXN934816,atm withdrawal payment #1474,325.36,Financial Services
TXN989838,hotstar payment #8074,4899.49,Entertainment
TXN351815,inox movies payment #4444,1594.85,Entertainment
TXN624741,amazon prime video payment #2374,4246.76,Entertainment
TXN736473,apple music payment #3794,4208.63,Bills & Subscriptions
TXN837880,reliance trends payment #8032,3311.88,Shopping
TXN468845,icici emi payment payment #7232,2437.2,Financial Services
TXN163653,playstation store payment #8993,1236.34,Entertainment
TXN678588,gaana plus payment #9197,2520.66,Entertainment
241,refund from amazon via upi,450.0,Financial Services
TXN457506,donation payment payment #4547,3810.54,Others
TXN348243,netflix payment #6465,2646.41,Entertainment
TXN455784,bank a/c transfer payment #1993,2072.84,Financial Services
TXN908274,hpcl pump payment #7415,4268.71,Fuel
TXN694423,decathlon payment #1908,2548.09,Shopping
TXN610274,transfer payment #2942,1510.43,Others
276,atm cash withdrawal at foreign location,10000.0,Financial Services
TXN534694,spencer’s retail payment #4957,120.37,Groceries
TXN680472,bpcl fuel outlet payment #6143,3588.18,Fuel
TXN730645,dunzo payment #3033,2318.65,Groceries
TXN919023,nayara energy payment #8912,4629.42,Fuel
TXN188597,nobroker services payment #5921,4153.18,Others
TXN506281,tnstc bus service payment #7126,1001.48,Travel & Transport
TXN480612,sbi atm payment #9005,195.44,Financial Services
TXN743937,shoppers stop payment #7481,243.04,Shopping
TXN813824,hpcl pump payment #7620,3336.6,Fuel
TXN555401,vistara airlines payment #6700,4410.98,Travel & Transport
TXN134500,nykaa payment #9897,2861.2,Shopping
81,tata housing bill,800.0,Utilities
TXN862057,microsoft 365 payment #7407,451.93,Bills & Subscriptions
TXN171131,torrent power payment #5614,1346.65,Utilities
TXN938742,phonepe upi payment #4878,4336.57,Financial Services
TXN502724,freelancer payment payment #7990,1497.76,Others
TXN690268,chai sutta bar payment #9721,2500.25,Food & Dining
TXN247189,abhibus payment #3717,3810.31,Travel & Transport
TXN755674,googlepay upi payment #9317,4571.88,Financial Services
TXN892453,bescom electricity payment #9740,484.87,Utilities
TXN458332,faasos payment #3953,4760.73,Food & Dining
TXN413823,canva pro payment #8711,2037.26,Bills & Subscriptions
TXN957626,spotify payment #4369,1617.81,Entertainment
TXN493774,jio fiber payment #7759,4362.44,Utilities
TXN755744,hpcl pump payment #1833,3890.94,Fuel
TXN595351,dominos payment #7771,1718.44,Food & Dining
TXN485290,talwalkars gym payment #8793,4701.5,Health & Fitness
TXN712916,netflix payment #1991,725.64,Entertainment
TXN736408,amazon payment #5942,1106.68,Shopping
TXN380061,municipal water tax payment #5466,1741.34,Utilities
TXN343962,neft transfer payment #1488,559.11,Financial Services
TXN452457,atm cash removal payment #8956,242.22,Financial Services
TXN480992,shell payment #8474,4756.74,Fuel
TXN649435,ola payment #1431,3877.58,Travel & Transport
TXN521818,westside payment #7806,2175.52,Shopping
TXN645316,spotify premium payment #4196,3588.52,Bills & Subscriptions
TXN890795,pharmeasy payment #8764,4490.29,Health & Fitness
285,loan top-up credit,30000.0,Financial Services
TXN464699,urban company payment #1512,2753.59,Others
TXN698128,subway payment #4178,1902.42,Food & Dining
TXN526170,paytm upi payment #2402,1282.64,Financial Services
TXN473801,urbanclap payment #8761,2554.17,Others
TXN609172,nayara energy payment #5327,1976.91,Fuel
221,loan emi payment - hdfc home loan,18500.0,Financial Services
TXN116398,nilgiris supermarket payment #5582,966.0,Groceries
TXN761685,bharatpetrol payment #2324,2489.15,Fuel
TXN520018,rapido payment #2642,1150.84,Travel & Transport
TXN513869,columbia asia payment #7241,1582.29,Health & Fitness
TXN498197,ioc fuel station payment #8178,988.18,Fuel
TXN764001,vistara airlines payment #7090,2120.48,Travel & Transport
TXN270832,reliance fresh payment #5621,203.13,Groceries
103,d-mart groceries,380.5,Groceries
TXN910883,hp petrol payment #3742,4860.98,Fuel
TXN181247,credit card pos payment #4919,1445.53,Financial Services
286,credit card cashback credit,500.0,Financial Services
TXN511484,indigo payment #1918,1405.87,Travel & Transport
TXN851583,youtube premium payment #6458,848.24,Bills & Subscriptions
TXN425469,bescom electricity payment #8672,576.59,Utilities
TXN331890,playstation store payment #5967,4061.23,Entertainment
TXN350675,jio fiber payment #3174,1856.19,Utilities
TXN999308,1mg payment #9763,4348.07,Health & Fitness
TXN802173,heritage fresh payment #7876,2671.41,Groceries
45,bsnl broadband bill,750.0,Utilities
TXN384685,act fibernet payment #6152,3578.22,Utilities
TXN514118,dr lal pathlabs payment #9755,187.78,Health & Fitness
TXN341296,subway payment #5689,3901.13,Food & Dining
TXN695403,meesho payment #7461,466.67,Shopping
TXN461908,healthspring payment #7235,577.02,Health & Fitness
TXN231113,rapido payment #4012,4285.64,Travel & Transport
TXN217825,local technician payment #5840,573.01,Others
TXN455081,1mg payment #6959,4878.52,Health & Fitness
59,wynk music premium,8.99,Bills & Subscriptions
TXN933729,max healthcare payment #4622,4174.71,Health & Fitness
TXN534631,healthspring payment #5616,1073.45,Health & Fitness
TXN728635,inox movies payment #6597,1132.06,Entertainment
TXN479781,credit card pos payment #2729,2224.26,Financial Services
TXN973176,urbanclap payment #2697,2421.34,Others
TXN100909,tata play dth payment #3438,3299.04,Utilities
TXN760393,nature's basket payment #5403,1099.2,Groceries
TXN821403,canva pro payment #7498,2494.27,Bills & Subscriptions
TXN238739,amazonpay upi payment #8953,1149.76,Financial Services
TXN566624,parking charges payment #2890,3496.06,Others
TXN887029,ola payment #6410,493.09,Travel & Transport
TXN393366,nayara energy payment #8848,398.8,Fuel
TXN900088,cult fit payment #2287,2181.54,Health & Fitness
TXN682401,tneb payment payment #8780,781.44,Utilities
TXN542372,talwalkars gym payment #8592,826.01,Health & Fitness
TXN877725,jiomart grocery payment #1082,876.1,Groceries
TXN820999,reliance fresh payment #2722,4968.35,Groceries
TXN592841,atm cash removal payment #9056,4848.37,Financial Services
TXN247720,dominos payment #5382,2303.02,Food & Dining
TXN425625,apollo pharmacy payment #5023,4005.52,Health & Fitness
235,upi payment to mobile recharge,199.0,Financial Services
TXN854145,society maintenance payment #3480,1824.15,Others
TXN116817,adobe creative cloud payment #4908,1079.93,Bills & Subscriptions
TXN539001,essar petrol payment #9259,4418.81,Fuel
TXN347600,cult fit payment #5201,3465.59,Health & Fitness
TXN912241,nature's basket payment #7559,490.86,Groceries
TXN271276,ola payment #7527,584.98,Travel & Transport
TXN810614,shell payment #4626,3272.16,Fuel
TXN934794,atm withdrawal payment #6974,4505.01,Financial Services
287,debit card cashback,120.0,Financial Services
TXN297377,hpcl pump payment #3328,2859.23,Fuel
TXN716814,local technician payment #1553,1424.46,Others
TXN178794,more supermarket payment #4373,3505.33,Groceries
TXN714646,bookmyshow payment #1305,1418.88,Entertainment
TXN867979,rapido payment #9906,1803.56,Travel & Transport
TXN561694,hdfc credit card payment #2644,4383.53,Financial Services
TXN226516,amazonpay upi payment #6023,1331.88,Financial Services
TXN416509,healthspring payment #2256,3292.53,Health & Fitness
TXN535673,atm withdrawal payment #9337,3556.52,Financial Services
197,amazon prime,13.99,Entertainment
TXN338356,blinkit payment #9222,1599.57,Groceries
TXN846802,spencer’s retail payment #2338,1561.85,Groceries
TXN756895,airtel digital tv payment #4592,2374.66,Utilities
TXN499407,paradise biryani payment #9984,3589.55,Food & Dining
TXN542417,atm fee payment #9935,526.0,Financial Services
TXN803375,fortis hospital payment #6804,4984.02,Health & Fitness
TXN363319,hdfc credit card payment #5325,2576.5,Financial Services
TXN222343,pizza hut payment #5951,3281.27,Food & Dining
TXN439817,jio fiber payment #8449,541.88,Utilities
TXN616342,hp petrol payment #1750,4494.7,Fuel
TXN686187,bharatpetrol payment #5237,3653.41,Fuel
TXN521805,flipkart payment #5009,3728.65,Shopping
TXN878533,blablacar payment #6126,2031.34,Travel & Transport
TXN778748,paradise biryani payment #1857,3967.21,Food & Dining
TXN441092,playstation store payment #3772,388.68,Entertainment
TXN826648,bookmyshow payment #1378,4960.56,Entertainment
TXN218423,bharatpetrol payment #8914,4609.95,Fuel
225,sbi loan emi debit,7400.0,Financial Services
TXN887042,tneb payment payment #9624,4919.54,Utilities
TXN198820,donation payment payment #5718,3696.02,Others
TXN593090,apollo pharmacy payment #4766,997.39,Health & Fitness
TXN712056,behrouz biryani payment #2795,4901.5,Food & Dining
TXN452898,prime membership payment #6521,3061.42,Bills & Subscriptions
TXN923856,ajio payment #3221,4817.58,Shopping
TXN472932,indigo payment #2544,284.91,Travel & Transport
TXN707667,urban company payment #6067,1033.81,Others
TXN994794,airtel recharge payment #2485,1890.24,Utilities
TXN623956,bescom electricity payment #9856,3252.7,Utilities
TXN389511,vistara airlines payment #1246,920.07,Travel & Transport
15,indian oil fuel,50.0,Fuel
TXN612824,zee5 premium payment #5354,682.08,Bills & Subscriptions
220,bank service charge for account maintenance,100.0,Financial Services
TXN286040,orix cabs payment #3450,3067.0,Travel & Transport
TXN539589,bhim upi payment #1651,3134.97,Financial Services
TXN168652,bpcl fuel outlet payment #9736,135.92,Fuel
TXN268870,dmart ready payment #3307,3867.25,Groceries
TXN638637,google one payment #7013,4213.1,Bills & Subscriptions
TXN534753,yatra travels payment #2938,3339.44,Travel & Transport
TXN146372,tneb payment payment #1083,2147.08,Utilities
TXN673095,decathlon payment #3773,785.8,Shopping
TXN438302,bharatpetrol payment #1654,853.15,Fuel
TXN784219,dmart ready payment #6867,1014.12,Groceries
TXN457261,donation payment payment #9955,4336.01,Others
TXN267112,bpcl fuel outlet payment #2117,3952.67,Fuel
TXN422316,easyday club payment #8279,4095.78,Groceries
TXN188693,google one payment #3705,2919.05,Bills & Subscriptions
TXN760830,reliance petrol pump payment #7678,2001.36,Fuel
TXN411120,reversal charge payment #8973,858.5,Financial Services
TXN423241,decathlon payment #2745,548.45,Shopping
TXN303993,indianoil payment #2166,2413.88,Fuel
TXN988319,h&m india payment #1040,4357.65,Shopping
64,shoppers stop,400.75,Shopping
TXN748564,rtgs transfer payment #5803,4164.08,Financial Services
TXN792984,tneb payment payment #1003,3809.68,Utilities
TXN193020,transfer payment #4253,3210.39,Others
204,google pay upi transfer to friend,500.0,Financial Services
TXN480211,burger king payment #9331,1872.96,Food & Dining
62,amazon prime video,12.99,Entertainment
TXN874368,healthspring payment #3556,121.04,Health & Fitness
TXN566686,meesho payment #4705,2645.28,Shopping
TXN388389,bank service charge payment #2824,222.55,Financial Services
TXN567863,gaana plus payment #3406,3531.45,Entertainment
TXN706224,act fibernet payment #2006,3183.57,Utilities
TXN689351,parking charges payment #4359,2629.69,Others
TXN360322,flipkart payment #7870,1200.13,Shopping
TXN178711,googlepay upi payment #4929,951.69,Financial Services
147,cleartrip travel booking,900.0,Travel & Transport
TXN543940,shell payment #4157,718.31,Fuel
TXN560823,cult fit payment #4507,4852.63,Health & Fitness
TXN201414,sbi atm payment #2674,554.45,Financial Services
TXN916628,dunzo payment #2274,1877.24,Groceries
TXN155846,irl events india payment #3434,1705.63,Entertainment
TXN597775,medplus payment #9260,4271.35,Health & Fitness
TXN777308,essar petrol payment #4469,2122.01,Fuel
TXN648501,viva fitness gym payment #5921,4223.54,Health & Fitness
TXN377950,talwalkars gym payment #8371,3156.67,Health & Fitness
TXN307731,indigo payment #3209,2456.52,Travel & Transport
TXN788500,bsnl bill payment #1931,4698.68,Utilities
TXN490394,redbus payment #7866,3533.49,Travel & Transport
89,mx player subscription,5.99,Entertainment
TXN509711,croma payment #3545,2728.31,Shopping
TXN101206,icici atm payment #9431,4142.14,Financial Services
TXN923218,disney plus hotstar payment #7252,3304.21,Bills & Subscriptions
TXN457356,hotstar payment #8759,1267.96,Entertainment
TXN748151,zomato payment #6321,942.18,Food & Dining
TXN615500,reliance petrol pump payment #6094,1473.7,Fuel
TXN297487,zee5 subscription payment #2043,2719.0,Entertainment
TXN339592,dominos payment #4522,2207.34,Food & Dining
TXN737460,orix cabs payment #7633,3903.45,Travel & Transport
TXN572788,indigo payment #7440,2126.44,Travel & Transport
TXN359159,gaana plus payment #6477,4218.49,Entertainment
TXN882233,more supermarket payment #7427,1000.1,Groceries
TXN131394,easyday club payment #9691,1826.04,Groceries
TXN271720,sms charge payment #2876,3911.18,Financial Services
TXN559094,gaana plus payment #2706,3561.38,Entertainment
136,nykaa cosmetics,500.0,Shopping
TXN449472,bescom electricity payment #1100,657.8,Utilities
TXN794037,reliance fresh payment #5370,240.07,Groceries
TXN591868,apollo pharmacy payment #9412,3006.56,Health & Fitness
TXN373812,indianoil payment #5831,198.38,Fuel
TXN275044,unknown payment #8068,217.26,Others
TXN146168,bsnl bill payment #1067,1623.81,Utilities
TXN803024,chayos payment #9624,557.92,Food & Dining
TXN166974,firstcry payment #8034,1432.7,Shopping
TXN741709,indigo payment #4026,228.37,Travel & Transport
TXN267753,hdfc credit card payment #2796,848.92,Financial Services
TXN403527,disney plus hotstar payment #1131,2228.21,Bills & Subscriptions
TXN497887,hdfc loan emi payment #5010,900.67,Financial Services
TXN929868,tnstc bus service payment #7084,2372.05,Travel & Transport
TXN237654,goibibo payment #8260,3169.76,Travel & Transport
TXN370539,housejoy payment #2049,2258.15,Others
112,subhiksha supermarket,420.75,Groceries
TXN682959,amazon payment #7625,4287.55,Shopping
TXN742848,chai sutta bar payment #3290,1707.03,Food & Dining
192,easemytrip travel booking,950.0,Travel & Transport
261,upi payment to delivery agent,150.0,Financial Services
TXN746002,croma payment #3480,4607.48,Shopping
TXN257517,easyday club payment #3971,3429.22,Groceries
TXN409963,bharatpetrol payment #1417,3311.46,Fuel
TXN764259,hp petrol payment #3120,3110.95,Fuel
TXN466960,imps transfer payment #9837,355.22,Financial Services
TXN300444,spencer’s retail payment #4541,1805.62,Groceries
TXN128941,icici atm payment #9785,1722.63,Financial Services
TXN635218,bsnl bill payment #1133,3096.3,Utilities
TXN525392,municipal water tax payment #3087,2588.95,Utilities
TXN764873,bsnl bill payment #2870,3560.51,Utilities
TXN789354,talwalkars gym payment #3478,2822.81,Health & Fitness
TXN986304,notion subscription payment #7660,3875.83,Bills & Subscriptions
TXN109853,amazonpay upi payment #8529,1351.1,Financial Services
TXN764845,nayara energy payment #9941,1545.39,Fuel
TXN830549,bigbasket payment #3735,3035.85,Groceries
TXN739270,hotstar payment #2734,3930.1,Entertainment
TXN261630,tanishq payment #4965,1338.14,Shopping
46,pepperfry furniture,1800.0,Shopping
TXN283305,prime membership payment #9577,4528.61,Bills & Subscriptions
TXN119927,pizza hut payment #1086,4538.7,Food & Dining
TXN868265,coursera plus payment #4338,445.73,Bills & Subscriptions
TXN587455,bajaj finance emi payment #9817,3895.74,Financial Services
TXN736975,disney plus hotstar payment #5620,2802.56,Bills & Subscriptions
265,hdfc cheque clearing,0.0,Financial Services
TXN649249,indigo payment #6062,3473.81,Travel & Transport
TXN206176,bharatpetrol payment #8113,869.81,Fuel
TXN744755,irl events india payment #8711,3975.89,Entertainment
